time,lux
52.678,827.21
52.780,829.76
52.878,829.76
52.979,829.76
53.080,829.76
53.178,849.75
53.277,849.75
53.376,852.34
53.479,852.34
53.579,852.34
53.679,852.34
53.779,852.34
53.876,852.34
53.977,852.34
54.077,852.34
54.177,852.34
54.277,872.69
54.377,872.69
54.479,875.33
54.578,872.69
54.679,875.33
54.780,875.33
54.876,872.69
54.976,875.33
55.077,875.33
55.177,875.33
55.278,875.33
55.378,875.33
55.477,875.33
55.578,875.33
55.676,896.04
55.779,896.04
55.876,898.73
55.976,898.73
56.077,912.66
56.176,915.38
56.279,922.54
56.378,936.71
56.478,939.48
56.574,939.48
56.676,939.48
56.778,939.48
56.878,939.48
56.978,939.48
57.079,939.48
57.177,939.48
57.277,939.48
57.379,939.48
57.478,936.71
57.577,936.71
57.676,922.54
57.776,922.54
57.876,922.54
57.977,936.71
58.076,936.71
58.176,936.71
58.276,939.48
58.375,939.48
58.476,939.48
58.577,939.48
58.676,936.71
58.776,936.71
58.875,936.71
58.976,936.71
59.075,936.71
59.176,936.71
59.276,936.71
59.376,936.71
59.478,936.71
59.577,936.71
59.678,936.71
59.778,946.77
59.876,964.01
59.977,988.95
60.076,988.95
60.178,991.82
60.278,981.45
60.377,981.45
60.477,981.45
60.578,966.83
60.675,964.01
60.774,981.45
60.875,981.45
60.974,981.45
61.078,981.45
61.178,978.60
61.278,964.01
61.377,964.01
61.475,964.01
61.577,964.01
61.676,964.01
61.777,964.01
61.875,964.01
61.976,964.01
62.078,964.01
62.178,964.01
62.277,964.01
62.376,964.01
62.477,964.01
62.578,981.45
62.674,988.95
62.777,988.95
62.878,1006.69
62.977,1006.69
63.077,1014.32
63.177,1017.24
63.278,1032.37
63.376,1032.37
63.475,1032.37
63.575,1032.37
63.675,1032.37
63.776,1032.37
63.875,1032.37
63.973,1032.37
64.074,1032.37
64.175,1032.37
64.272,1032.37
64.377,1032.37
64.475,1032.37
64.574,1032.37
64.675,1032.37
64.777,1032.37
64.876,1032.37
64.976,1032.37
65.074,1032.37
65.174,1032.37
65.277,1032.37
65.376,1032.37
65.477,1032.37
65.577,1032.37
65.675,1032.37
65.777,1032.37
65.876,1032.37
65.977,1032.37
66.076,1032.37
66.176,1032.37
66.276,1050.62
66.376,1055.48
66.477,1047.64
66.576,1035.32
66.676,1032.37
66.776,1035.32
66.875,1032.37
66.976,1032.37
67.074,1032.37
67.174,1032.37
67.276,1058.48
67.374,1058.48
67.474,1058.48
67.576,1058.48
67.673,1058.48
67.776,1032.37
67.874,1032.37
67.974,1032.37
68.073,1032.37
68.174,1032.37
68.274,1032.37
68.374,1032.37
68.474,1040.13
68.573,1043.10
68.673,1043.10
68.774,1058.48
68.876,1058.48
68.976,1058.48
69.076,1058.48
69.173,1040.13
69.274,1032.37
69.376,1032.37
69.474,1032.37
69.576,1032.37
69.674,1040.13
69.773,1058.48
69.874,1058.48
69.973,1058.48
70.073,1058.48
70.173,1058.48
70.273,1058.48
70.374,1058.48
70.475,1058.48
70.575,1058.48
70.676,1058.48
70.776,1058.48
70.876,1058.48
70.976,1058.48
71.075,1058.48
71.175,1058.48
71.275,1058.48
71.375,1058.48
