time,lux
98.589,162.76
98.689,167.24
98.789,174.15
98.889,168.12
98.989,165.82
99.088,165.82
99.189,172.69
99.289,165.82
99.389,172.69
99.488,164.41
99.589,197.97
99.688,172.69
99.789,179.18
99.889,192.96
99.989,154.73
100.089,218.04
100.189,179.75
100.289,224.54
100.389,175.05
100.488,215.30
100.589,157.76
100.689,167.57
100.789,177.35
100.889,150.48
100.989,178.35
101.089,201.18
101.188,169.55
101.289,174.15
101.389,183.69
101.489,191.04
101.588,231.84
101.689,223.47
101.789,186.15
101.889,181.25
101.989,191.04
102.088,142.21
102.188,149.74
102.289,171.80
102.389,167.24
102.489,169.55
102.589,160.52
102.689,174.15
102.789,174.15
102.889,198.58
102.988,204.69
103.089,178.83
103.189,155.24
103.288,183.69
103.388,184.62
103.488,177.44
103.588,174.15
103.689,181.25
103.788,188.89
103.889,153.38
103.989,194.44
104.089,200.56
104.188,199.57
104.288,215.30
104.389,185.47
104.489,191.04
104.588,164.95
104.688,162.68
104.789,193.56
104.889,169.55
104.989,167.24
105.088,160.52
105.189,169.55
105.288,181.25
105.389,181.25
105.488,158.29
105.589,178.83
105.688,182.17
105.788,192.96
105.889,204.79
105.989,177.44
106.089,202.17
106.189,167.24
106.288,203.07
106.388,196.99
106.489,163.01
106.589,161.29
106.688,218.04
106.788,218.04
106.888,199.57
106.988,104.45
107.088,179.84
107.189,169.55
107.289,178.92
107.388,186.15
107.489,133.36
107.588,170.44
107.689,191.04
107.788,196.02
107.889,160.52
107.988,160.52
108.088,167.24
108.188,162.76
108.288,162.76
108.388,143.42
108.489,176.52
108.588,200.56
108.688,158.29
108.788,176.44
108.888,182.17
108.988,192.00
109.089,170.35
109.193,183.69
109.289,196.11
109.388,141.43
109.488,192.00
109.588,194.53
109.688,164.95
109.788,188.54
109.889,163.63
109.988,162.68
110.089,158.29
110.188,235.92
110.288,187.94
110.388,160.52
110.488,145.51
110.588,138.12
110.688,194.53
110.788,153.97
110.888,161.37
110.988,199.57
111.088,185.56
111.188,182.17
111.287,171.80
111.388,171.80
111.488,163.63
111.588,162.76
111.688,163.63
111.788,157.00
111.888,165.03
111.988,161.37
112.088,177.44
112.188,170.44
112.288,183.69
112.389,176.52
112.488,184.62
112.587,180.76
112.688,203.17
112.788,195.50
112.888,194.53
112.988,199.57
113.088,183.11
113.188,140.94
113.289,244.49
113.390,189.49
113.491,161.29
113.591,149.15
113.690,206.81
113.790,177.44
113.890,170.44
113.991,184.62
114.090,178.83
114.190,152.55
114.290,183.11
114.389,182.17
114.491,179.75
114.591,175.05
114.690,184.62
114.790,165.91
114.890,177.44
114.990,175.05
115.090,168.12
115.190,175.05
115.290,187.00
115.391,196.99
115.490,202.17
115.590,191.04
115.690,183.69
115.796,194.53
115.896,187.09
115.996,177.44
116.095,176.52
116.196,163.63
116.294,158.29
116.394,181.25
116.491,153.97
116.592,161.37
116.690,184.62
116.795,174.15
116.896,152.63
116.996,120.83
117.095,157.76
117.196,138.90
117.295,150.48
117.396,132.21
117.496,149.66
117.596,157.00
117.695,118.98
117.796,170.35
117.895,170.35
117.995,197.09
118.095,164.95
118.195,159.14
118.295,163.54
118.390,196.99
118.494,177.44
118.595,153.89
118.692,172.69
118.790,183.11
118.890,165.82
118.990,168.12
119.089,200.56
119.190,175.05
119.290,187.09
119.389,135.42
119.489,168.12
119.589,159.14
119.690,189.58
119.790,187.09
119.890,144.21
119.989,172.69
120.089,187.09
120.190,172.78
120.295,144.21
120.389,187.00
120.489,172.69
120.589,188.89
120.689,175.05
120.789,157.00
120.890,163.63
120.990,170.44
121.090,163.63
121.194,161.37
121.289,168.12
121.390,168.12
121.493,140.87
121.589,142.93
121.695,169.00
121.789,165.82
121.889,171.24
121.993,180.67
122.089,189.49
122.193,182.17
122.289,173.59
122.389,173.59
122.490,219.09
122.590,172.69
122.694,171.80
122.795,175.05
122.890,159.14
122.989,163.63
123.093,163.54
123.195,161.37
123.295,166.70
123.395,150.48
123.494,187.94
123.589,142.14
123.689,178.26
123.789,200.56
123.890,200.56
123.992,178.26
124.095,172.78
124.194,162.15
124.289,151.30
124.389,222.91
124.489,178.26
124.588,187.09
124.689,210.00
124.789,215.30
124.889,197.97
124.993,168.03
125.095,187.94
125.189,177.35
125.295,189.49
125.395,168.92
125.495,114.31
125.590,168.92
125.689,162.15
125.789,182.17
125.889,192.00
125.989,192.00
126.092,165.82
126.189,149.15
126.289,187.00
126.395,196.99
126.494,190.44
126.594,187.00
126.694,179.75
126.794,165.82
126.891,189.49
126.989,142.14
127.089,147.84
127.189,216.34
127.287,159.14
127.390,168.12
127.494,171.33
127.594,171.33
127.694,175.05
127.795,175.05
127.894,177.35
127.994,140.87
128.094,172.69
128.195,153.38
128.295,206.71
128.394,142.85
128.495,174.97
128.592,196.99
128.688,170.44
128.786,161.37
128.886,203.17
128.989,170.44
129.089,165.82
129.189,194.53
129.289,176.52
129.388,169.55
129.488,163.63
129.588,170.44
129.688,170.44
129.788,172.78
129.889,163.63
129.993,170.44
130.094,163.63
130.193,177.44
130.294,177.44
130.394,177.44
130.494,169.55
130.594,165.03
130.694,167.24
130.794,168.12
130.894,184.62
130.994,165.91
131.094,159.14
